title,price,location,area,bathrooms,bedrooms
فيلا راقية للإيجار في العذيبة | Luxury Villa for Rent in Al Azaiba,550.0,"Azaiba, Muscat•",300.0,6.0,5.0
شقة راقية للإيجار في الموج – مبنى لاجن |  Luxury Apartment for Rent in,525.0,"The Wave (Almouj), Muscat•",120.0,2.0,1.0
فيلا للإيجار في غلا – طابق أرضي فقط | Villa for Rent in Ghala – Groun,330.0,"Ghala, Muscat•",300.0,4.0,3.0
Finished Studio North Ghoubra behind ship mall including bills,160.0,"Al Ghubrah, Muscat•",109.0,1.0,1.0
MADINAT QABOOS | BRAND NEW MODERN 4+1 BR COMPOUND VILLA FOR RENT,1199.0,"Madinat As Sultan Qaboos, Muscat•",450.0,6.0,5.0
MUSCAT HILLS | AMAZNG 2BHK APARTMENT INSIDE COMMUNITY (UNFURNISHED),675.0,"Muscat Hills, Muscat•",111.0,2.0,2.0
Shops and Showrooms for Rent in Al Khuwair,10.0,"Al Khuwair, Muscat•",398.0,,
Offices Available For Rent in Prime locations in Qurum,400.0,"Qurum, Muscat•",50.0,,
Shared Room For Rent  غرفه للايجار,60.0,"Al Khoud, Muscat•",30.0,1.0,1.0
For Rent: Spacious Showroom in Al Hail South,10000.0,"Al Hail, Muscat•",1500.0,,
WELL MAINTAINED 5 BR TOWNHOUSE IN AZAIBA,500.0,"Azaiba, Muscat•",300.0,6.0,5.0
متوفر استديو غرفه وحمام ومطبخ مفروش بالكامل بالغبره الجنوبيه,190.0,"Al Ghubrah, Muscat•",80.0,1.0,1.0
spacious and independent villa for rent in Al-Qurum,900.0,"Qurum, Muscat•",450.0,6.0,6.0
For Rent: Elegant & Spacious Villa in Al Mouj,1450.0,"The Wave (Almouj), Muscat•",400.0,5.0,4.0
Fully furnished studio in Al Khuwair,180.0,"Al Khuwair, Muscat•",1000.0,1.0,
1me66 - Lovely 5BHK Villa for Rent In Azaiba,550.0,"Azaiba, Muscat•",400.0,6.0,5.0
3me62 - Classic standalone 3+1 BHK Villa for Rent in MQ,800.0,"Madinat As Sultan Qaboos, Muscat•",300.0,3.0,3.0
breathtaking fully furnished marina view 2 BHK apartment for rent,,"The Wave (Almouj), Muscat•",10.0,2.0,2.0
Lovely 2 BHK apartment  for rent at Al Mouj Muscat.,,"The Wave (Almouj), Muscat•",128.0,2.0,2.0
Spacious 5 Bedrooms Villa For Rent in Almouj Muscat,1750.0,"The Wave (Almouj), Muscat•",462.0,6.0,5.0
2 Bedrooms Apartment in Acacia Wave Muscat Almouj,675.0,"The Wave (Almouj), Muscat•",116.0,2.0,2.0
1bhk flat in Industrial alwadi alkabir,120.0,"Al Wadi Al Kabir, Muscat•",60.0,1.0,1.0
ADV923**4BHK+Maid fully furnished for rent in Chatti qurum,2000.0,"Qurum, Muscat•",448.0,5.0,4.0
ADV932** 4BHK+Maid Luxurious villa for rent in Shatti Qurum,1500.0,"Qurum, Muscat•",400.0,6.0,5.0
ADC503 Different spaces Brand new commercial office for rent in azaiba,552.0,"Azaiba, Muscat•",92.0,,
ADC205*** Office Space in Ghala –  412 sqm for Rent*,2060.0,"Ghala, Muscat•",412.0,,
For Rent: Office Spaces,1090.0,"Al Khuwair, Muscat•",183.0,,
غرفه وحمام ومطبخ الخوير مبني جديد مقابل بدر السما,130.0,"Al Khuwair, Muscat•",80.0,1.0,1.0
"Spacious Fully Furnished 2BHK Apartment in Al Ghubra, Muscat",325.0,"Al Ghubrah, Muscat•",100.0,3.0,2.0
Male Bed spaces available in Gahala (Ready for emmidete move),45.0,"Ghala, Muscat•",450.0,2.0,1.0
For Rent: Office Spaces(للايجار: مساحات مكتبية),1230.0,"Al Khuwair, Muscat•",205.0,,
شقة جديدة راقية مع بركة سباحة خاصة في منتجع هوانا 30% لغاية 15 يوليو,65.0,"Salalah, Dhofar•",90.0,2.0,1.0
ADC204*** Office Space in Ghala –  190 sqm for Rent*,950.0,"Ghala, Muscat•",190.0,,
"ADC203** Spacious open space Showroom for rent in Al Ghala, with total",2830.0,"Ghala, Muscat•",283.0,,
GHALA  | 2200 SQM WAREHOUSE IN PRIME LOCATION FOR RENT,3999.0,"Ghala, Muscat•",2200.0,,
MUSCAT BAY | LUXURIOUS 4+1BR MODERN WATERFRONT VILLA FOR RENT,1750.0,"Qantab, Muscat•",555.0,6.0,5.0
Furnished Rent Studio - Al Khuwair Clean and tidy studio,160.0,"Al Khuwair, Muscat•",200.0,1.0,
QURM | PALATIAL 5+2 BR VILLA,2399.0,"Qurum, Muscat•",425.0,8.0,7.0
AL MOUJ | GORGEOUS 2+2 BHK MARINA VIEW APARTMENT,1199.0,"The Wave (Almouj), Muscat•",186.0,4.0,4.0
AL MOUJ | BEAUTIFUL 2BHK SEA VIEW APARTMENT,,"The Wave (Almouj), Muscat•",155.0,3.0,2.0
MADINAT AL ILAM | 4+1 BR SPACIOUS MANSION,,"Madinat As Sultan Qaboos, Muscat•",650.0,6.0,4.0
MADINAT QABOOS | BRAND NEW LUXURIOUS 5+1BR TWIN VILLAS,,"Madinat As Sultan Qaboos, Muscat•",650.0,8.0,6.0
GHALA | 2200 SQM WAREHOUSE IN PRIME LOCATION,3999.0,"Ghala, Muscat•",2200.0,,
QURM | PALATIAL 5+2 BR VILLA SUITABLE FOR EMBASSADOR,2399.0,"Qurum, Muscat•",568.0,8.0,7.0
AL MOUJ | SEMI FURNISHED 2BHK MARINA VIEW APARTMENT,1200.0,"The Wave (Almouj), Muscat•",185.0,2.0,3.0
QURM | MODERN 3+1 BR COMMERCIAL VILLA,1349.0,"Qurum, Muscat•",400.0,,
AL QURUM | 1400 SQM OPEN COMMERCIAL SPACE FOR RENT,9999.0,"Qurum, Muscat•",1400.0,,
SR--MM-897  Offices for Rent in Al Khoudh/مكاتب للايجار في الخوض,300.0,"Al Khoud, Muscat•",70.0,,
SR--AK-907 Penthouse for Rent in Al Azaiba/للإيجار: بنتهاوس في العذيبة,320.0,"Azaiba, Muscat•",180.0,3.0,3.0
MADINAT AL ILAM | 4+1 BR SPACIOUS MANSION FOR RENT,1500.0,"Madinat As Sultan Qaboos, Muscat•",555.0,6.0,5.0
AL MOUJ | SEMI FURNISHED 2BHK MARINA VIEW APARTMENT FOR RENT,1199.0,"The Wave (Almouj), Muscat•",120.0,3.0,2.0
"QURUM | 1400 SQM OPEN COMMERCIAL SPACE FOR HYPERMARKETS, OFFICE ETC",9200.0,"Qurum, Muscat•",1400.0,,
للايجار محل في المعبيله الجنوبيه,500.0,"Al Maabilah, Muscat•",56.0,,
Budget Apartment for Rent in Ruwi| REF 70BC,325.0,"Ruwi, Muscat•",90.0,3.0,2.0
AL KHUWAIR | 4+1 BR COMMERCIAL VILLA FOR RENT,1399.0,"Al Khuwair, Muscat•",420.0,,
للايجار شقة مميزه للعوائل في منطقة بوشر امام عمان مول _2BHK,270.0,"Bosher, Muscat•",100.0,2.0,2.0
محلات للايجار ف الغبره الجنوبيه قريب من الخدمات shops for Rent,220.0,"Al Ghubrah, Muscat•",35.0,,
شقه للايجار في غلا بموقع ممتاز_1BHK,190.0,"Ghala, Muscat•",100.0,2.0,1.0
للايجار محلات مميزه بمساحات متعدده ف مرتفعات غلا Shops for Rent differ,500.0,"Ghala, Muscat•",71.0,,
For Rent 2 Bhk Fully Furnished Flat In Rimal Boucher,,"Bosher, Muscat•",10.0,3.0,2.0
AL QURUM | LUXURIOUS BRAND NEW MODERN 3+1 BR VILLA,1200.0,"Qurum, Muscat•",290.0,5.0,4.0
Furnished villa for Rent in Maabilah| REF 69iC,450.0,"Al Maabilah, Muscat•",300.0,7.0,8.0
2 Bedroom Apartment for Rent in Almouj Muscat,750.0,"The Wave (Almouj), Muscat•",115.0,2.0,2.0
MQ | SPACIOUS 3+1 BR APARTMENT,800.0,"Madinat As Sultan Qaboos, Muscat•",125.0,3.0,3.0
MQ | BEAUTIFUL SEA VIEW 5 BR VILLA,1400.0,"Madinat As Sultan Qaboos, Muscat•",300.0,5.0,5.0
SR--SA-895 Villa For Rent In Azaiba/ فيلا للايجار في العذيبة,900.0,"Azaiba, Muscat•",500.0,8.0,6.0
SR-IB--894  Room for Rent – Mawaleh North/ غرفة للإيجار – الموالح,150.0,"Al Mawaleh, Muscat•",50.0,1.0,1.0
SR-MH--893 Commercial Shops For Rent in Al Khoudh/محلات تجارية للايجار,1268.0,"Al Khoud, Muscat•",317.0,,
"3 BR Brand New Villa – Al Muna Gardens, Bousher - With Private Pool",850.0,"Bosher, Muscat•",159.0,4.0,3.0
10 BR + Maid’s Room Generous Villa in Azaiba,2000.0,"Azaiba, Muscat•",659.0,10.0,10.0
SR-AK--891 Villa For Rent In south Mawaleh/ فيلا للايجار في الموالح,550.0,"Al Mawaleh, Muscat•",400.0,6.0,4.0
SR-MS--890Villa for Rent in – Hail / فيلا للإيجار في الحيل,450.0,"Al Hail, Muscat•",300.0,4.0,4.0
1BR Branded Sea View Apartment for Rent in Al Mouj,1350.0,"The Wave (Almouj), Muscat•",140.0,2.0,1.0
2BR Apartment for Rent - The Residences at St Regis in Al Mouj,1700.0,"The Wave (Almouj), Muscat•",190.0,3.0,2.0
Fully Furnished 1 BHK Apartment With Sea View At St Regis,1350.0,"The Wave (Almouj), Muscat•",140.0,2.0,1.0
highly recommended 5+1bhk villa at muscat hills,,"Muscat Hills, Muscat•",450.0,6.0,5.0
highly recommended 4bhk Villah in Qurum near Sultnan center,,"Qurum, Muscat•",650.0,6.0,4.0
SR-BT--889 Flat for Rent – Muscat Hills/شقة للايجار في مسقط هيلز,400.0,"Muscat Hills, Muscat•",150.0,3.0,2.0
SR-RE--888 flat for Rent in Muscat Hills/شقة للايجار في مسقط هيلز,650.0,"Muscat Hills, Muscat•",170.0,2.0,2.0
SR--MS-887 Furnished flat for rent in muscat hills/ شقة مفروشه للايجار,350.0,"Muscat Hills, Muscat•",90.0,2.0,1.0
SR-MH-912 Flat for Rent in South Mawaleh/شقة للايجار بالموالح الجنوبية,380.0,"Al Mawaleh, Muscat•",250.0,4.0,4.0
Rent - Fully Furnished Studio in Atheba,180.0,"Azaiba, Muscat•",1000.0,1.0,
Furnished apartment for rent in Al Ghubra South,250.0,"Al Ghubrah, Muscat•",1000.0,1.0,1.0
1 BR Fully Furnished Apartment in Madinat Sultan Qaboos,650.0,"Madinat As Sultan Qaboos, Muscat•",59.0,1.0,1.0
For Rent Flat 2BHK - Al Qurum,,"Qurum, Muscat•",11.0,3.0,2.0
MADINAT AL ILAM | 3+1 BR SPACIOUS MANSION,,"Madinat As Sultan Qaboos, Muscat•",500.0,5.0,4.0
MADINAT QABOOS | BRAND NEW LUXURIOUS 5+1BR TWIN VILLAS,1699.0,"Madinat As Sultan Qaboos, Muscat•",545.0,8.0,6.0
MADINAT SULTAN QABOOS | MODERN HIGH QUALITY 6+2 BEDROOM LUXURIOUS VILL,1999.0,"Madinat As Sultan Qaboos, Muscat•",595.0,9.0,7.0
QURM | PALATIAL 5+2 BR VILLA FOR DIPLOMATIC USE,2399.0,"Qurum, Muscat•",595.0,8.0,7.0
SR--SH-869 Villa for Rent/فيلا للإيجار – الخوض,800.0,"Al Khoud, Muscat•",550.0,9.0,7.0
للايجار مساحات تجاريه مفتوحه ف موقع متميز و حيوي شارع 18 نوفمبرالعذيبه,3300.0,"Azaiba, Muscat•",474.0,,
3 Bedroom villa for Rent in Al Mouj,1300.0,"The Wave (Almouj), Muscat•",247.0,4.0,3.0
2 BR Luxury Fully Furnished Apartment | MGM,1500.0,"Al Ghubrah, Muscat•",111.0,3.0,2.0
2 BR Modern Brand New Marina View Apartment in Al Mouj – Juman 2,,"The Wave (Almouj), Muscat•",109.0,3.0,2.0
5 BR + Maid’s Room Villa in Mawaleh close to Amenities,500.0,"Al Mawaleh, Muscat•",451.0,5.0,5.0
Great Apartment for Rent in Bosher| REF 991BA,300.0,"Bosher, Muscat•",80.0,2.0,1.0
QURM | EXCELLENT 4+1 BR COMMUNITY VILLA,1800.0,"Qurum, Muscat•",500.0,5.0,5.0
Beautiful 3+1 Townhouse Available for Rent in Al Qurum,600.0,"Qurum, Muscat•",300.0,5.0,4.0
Beautiful 5 BR Compound Villa with Sea View Available for Rent in Mad,1400.0,"Madinat As Sultan Qaboos, Muscat•",420.0,6.0,5.0
MADINAT AL ILAM | BEAUTIFUL 4+1 BR COMPOUND VILLAS FOR RENT,950.0,"Madinat As Sultan Qaboos, Muscat•",300.0,6.0,5.0
For Rent Premium Commercial Building in Ruwi,9000.0,"Ruwi, Muscat•",1500.0,,
Excellent 4+1 BR BR Townhouses for Rent in Madinatl Al Illam,650.0,"Madinat As Sultan Qaboos, Muscat•",300.0,6.0,5.0
Industrial Property* for Rent in Al-Masfa in Muscat,2200.0,"Al Sifah, Muscat•",1600.0,,
SR-ZY-810 Fully furnished apartment to let in Almouj,715.0,"The Wave (Almouj), Muscat•",100.0,2.0,2.0
"Hi Lady, recommended 4bhk with private pool at Mq",,"Madinat As Sultan Qaboos, Muscat•",550.0,6.0,5.0
"""SR-SD-813 Flat for Rent in Al Mouj – Fully Equipped",600.0,"The Wave (Almouj), Muscat•",80.0,1.0,1.0
SR--AH-875  Apartment for Rent – Al Mouj/شقة للإيجار – الموج,525.0,"The Wave (Almouj), Muscat•",108.0,1.0,1.0
highly recommended 3Bhk at mq,600.0,"Al Seeb, Muscat•",320.0,4.0,3.0
prime location 4bhk Bangalore at Madina al Ilam for rent,800.0,"Madinat As Sultan Qaboos, Muscat•",425.0,5.0,4.0
Highly recommended 4+1 Bhk twin villa  for rent at shatti qurum,,"Madinat As Sultan Qaboos, Muscat•",550.0,5.0,4.0
SR--AH-876  Furnished flat for Rent Al Moujشقة مفروشة للإيجارفي الموج,700.0,"The Wave (Almouj), Muscat•",100.0,2.0,2.0
SR--AH-877  Apartment for Rent – Al Mouj/ شقة  للإيجارفي الموج,750.0,"The Wave (Almouj), Muscat•",80.0,2.0,1.0
استوديو غرفه وحمام ومطبخ مفروشه,180.0,"Azaiba, Muscat•",190.0,1.0,1.0
Great Standalone villa for Rent in Al Qurum| REF 67iC,650.0,"Qurum, Muscat•",300.0,4.0,4.0
SR--SE-882Fully furnished flat for Rent in Al Mouj شقه مفروشة للايجار,750.0,"The Wave (Almouj), Muscat•",100.0,2.0,2.0
SR--BM-883 Apartment for Rent in Al Mouj –/شقة للإيجار في الموج,1200.0,"The Wave (Almouj), Muscat•",130.0,2.0,2.0
SR--NK-885 Apartment for Rent in Al Mouj/شقة للايجار في الموج,1100.0,"The Wave (Almouj), Muscat•",120.0,3.0,2.0
QURUM | COMMUNITY 3+1 BR TOWNHOUSE,500.0,"Qurum, Muscat•",300.0,5.0,3.0
QURUM | LUXURIOUS 3+1 BR WITH POOL & SEA VIEW,1200.0,"Qurum, Muscat•",300.0,5.0,3.0
BRAND NEW OFFICE SPACES FOR RENT - QURUM CITY CENTER,200.0,"Qurum, Muscat•",10.0,,
BRAND NEW BUDGET FRIENDLY WORK SPACES FOR RENT - GHALA!,300.0,"Ghala, Muscat•",11.0,,
استديو كبير مؤثث بالكامل للايجار في العذيبه,180.0,"Azaiba, Muscat•",500.0,1.0,1.0
2BHK FOR RENT - AL KHUWAIR !,270.0,"Al Khuwair, Muscat•",100.0,3.0,2.0
2 BHK APARTMENTS FOR RENT - WADI KABIR !,325.0,"Al Wadi Al Kabir, Muscat•",100.0,3.0,2.0
BRAND NEW SHOPS FOR RENT - MAWALEH !,350.0,"Al Mawaleh, Muscat•",40.0,,
2 BHK FOR RENT - AL KHUWAIR !,275.0,"Al Khuwair, Muscat•",98.0,3.0,2.0
NEED A MODERN & STYLISH READY TO MOVE IN OFFICE SPACES - BOOK NOW !,350.0,"Al Khuwair, Muscat•",15.07,,
BRAND NEW LUXURY VILLA FOR RENT - MADINAT AL ILLAM!,950.0,"Qurum, Muscat•",235.0,5.0,4.0
"beautiful pool & Marina view 1apartment for rent  Al Mouj Muscat,",,"The Wave (Almouj), Muscat•",123.0,1.0,1.0
Office for Rent - luxury brand new offices in pavillion muscat hills,380.0,"Muscat Hills, Muscat•",63.0,,
5 BR + Maid’s Room Spacious Villa in Qurum,475.0,"Qurum, Muscat•",459.0,5.0,5.0
Land For Rent in Al Misfa,2500.0,"Misfah, Muscat•",2999.0,,
AL QURUM | MODERN 3+1 BR COMMERCIAL VILLA FOR RENT,1249.0,"Qurum, Muscat•",299.0,,
MADINAT AL ILAM | WONDERFUL 4+1 BR COMMUNITY VILLA,749.0,"Madinat As Sultan Qaboos, Muscat•",365.0,6.0,5.0
MUSCAT BAY | LUXURIOUS 4+1BR MODERN WATERFRONT VILLA,1750.0,"Qantab, Muscat•",350.0,6.0,5.0
RUWI | SPACIOUS COMMERCIAL UNIT IN PRIME BUSINESS LOCATION,650.0,"Ruwi, Muscat•",185.0,,
QURM | MODERN 3+1 BR VILLA WITH GREAT VIEWS (UN FURNISHED),1199.0,"Qurum, Muscat•",545.0,5.0,4.0
QURM | 298 SQM FURNISHED OFFICE IN PRIME LOCATION,1790.0,"Qurum, Muscat•",298.0,,
MADINAT AL ILAM | GOOD QUALITY 5+1BR COMPOUND VILLA,1499.0,"Madinat As Sultan Qaboos, Muscat•",650.0,8.0,7.0
QURUM MODERN 3+1 BR VILLA WITH GREAT VIEWS FOR RENT,1199.0,"Qurum, Muscat•",300.0,5.0,4.0
AL MOUJ | BEAUTIFUL 2 BHK POOL VIEW APARTMENT FOR RENT,750.0,"The Wave (Almouj), Muscat•",105.0,2.0,2.0
AL MOUJ | QUALITY FURNISHED 2+1 BHK POOL VIEW APARTMENT FOR RENT,799.0,"The Wave (Almouj), Muscat•",120.0,2.0,3.0
AL MOUJ | FURNISHED 2BHK MARINA VIEW APARTMENT,1249.0,"The Wave (Almouj), Muscat•",145.0,3.0,2.0
AL MOUJ | GORGEOUS 3+1 BHK MARINA VIEW APARTMENT,1199.0,"The Wave (Almouj), Muscat•",165.0,4.0,4.0
MADINAT AL ILAM | 4+1 BR SPACIOUS MANSION,,"Madinat As Sultan Qaboos, Muscat•",849.0,6.0,5.0
MADINAT AL ILAM | BRAND NEW 5+1 BR LUXURIOUS VILLA,,"Madinat As Sultan Qaboos, Muscat•",508.0,8.0,6.0
MADINAT AL ILAM | MODERN OPULENT 7+2 BR VILLA FOR RENT,2499.0,"Madinat As Sultan Qaboos, Muscat•",600.0,12.0,9.0
MUSCAT HILLS | LUXURIOUS 3+1 BR COMMUNITY VILLA WITH PRIVATE POOL,1099.0,"Muscat Hills, Muscat•",350.0,5.0,4.0
AL QURUM | PALATIAL 5+2 BR VILLA FOR RENT,2399.0,"Qurum, Muscat•",599.0,8.0,7.0
AL MOUJ | MARINA AND SEA VIEW 2 BHK APARTMENT IN JUMAN 2,1299.0,"The Wave (Almouj), Muscat•",115.0,2.0,2.0
AL MOUJ | GORGEOUS 2+2 BHK MARINA VIEW APARTMENT FOR RENT,1199.0,"The Wave (Almouj), Muscat•",135.0,4.0,4.0
BOSHER AL MUNA | BRAND NEW 3+1BR TOWNHOUSE WITH PRIVATE POOL FOR RENT,850.0,"Bosher, Muscat•",275.0,5.0,4.0
GHALA | 330 SQM BEAUTIFUL OFFICE SPACE IN PRIME LOCATION,950.0,"Ghala, Muscat•",330.0,,
MUSCATHILLS | FURNISHED QUALITY 1BHK APARTMENT,499.0,"Muscat Hills, Muscat•",110.0,2.0,1.0
BEAUTIFUL VILLA FOR RENT IN  MADINAT AL ILAM,800.0,"Madinat As Sultan Qaboos, Muscat•",350.0,4.0,4.0
MADINAT AL ILAM | EXCELLENT FINISHING 4+1 BR COMPLEX,950.0,"Madinat As Sultan Qaboos, Muscat•",300.0,5.0,4.0
QURUM | LUXURIOUS COMMUNITY 3+1 BR VILLA WITH INFINITY POOL,1200.0,"Qurum, Muscat•",299.0,5.0,3.0
للايجار محلات ف موقع متميز و حيوي ف الخوض السابعه بجوار فيفا ماركت,180.0,"Al Khoud, Muscat•",25.0,,
Commercial Showroom for Rent in Bosher| REF 65C,3000.0,"Bosher, Muscat•",700.0,,
Modern 3 BR Apartment Available for Rent in Madinat Al Sultan Qaboos,800.0,"Madinat As Sultan Qaboos, Muscat•",130.0,3.0,3.0
Villa for Rent in Mawallah South - Commercial Use,750.0,"Al Mawaleh, Muscat•",330.0,8.0,6.0
Luxury Apartment for Rent in Azaiba| REF 64YC,325.0,"Azaiba, Muscat•",90.0,2.0,1.0
2 BHK Brand New Fully Furnished Apartment – Wadi Adai,,"Al Wadi Al Kabir, Muscat•",110.0,2.0,2.0
Like new 2 BHK Apartment for rent on Ruwi Road Front,250.0,"Al Hamriyah, Muscat•",100.0,3.0,2.0
Elegant 4 BHK Villa for rent @ Qurum,650.0,"Qurum, Muscat•",300.0,5.0,4.0
Newly Refurbished 1 BHK for a special price,130.0,"Mutrah, Muscat•",90.0,2.0,1.0
Villa for Rent – North Al Hail - فيلا للإيجار الحيل الشمالية,850.0,"Al Hail, Muscat•",220.0,5.0,4.0
Standalone Villa for Rent in Qurum| REF 98LC,750.0,"Qurum, Muscat•",700.0,7.0,5.0
للايجار محلات ف موقع متميز ف الخوض السابعه بجوار فيفا هايبر ماركت,180.0,"Al Khoud, Muscat•",25.0,,
shops and room liwa غرفة لوى صناعية ومحلات,50.0,"Liwa, Al Batinah•",26.0,1.0,1.0
توين فيلا للايجار في العامرات villa for rent in Alamrat,350.0,"Al Amarat, Muscat•",340.0,5.0,4.0
VILLA FOR RENT IN SEEB فيلا للايجار في السيب,500.0,"Al Seeb, Muscat•",200.0,4.0,3.0
113 SQM Fully Furnished Office Space in Bausher,620.0,"Bosher, Muscat•",113.0,,
1 BR Cozy Apartment for Rent – Muscat Hills (BLV Building),330.0,"Muscat Hills, Muscat•",63.0,1.0,1.0
شقة مفروشة للإيجار في مسقط هيلز Furnished Apartment for Rent in Muscat,,"Muscat Hills, Muscat•",108.0,3.0,2.0
"4ME24 - Commercial Villa Just For Spa, Botique, Specialized clinic",800.0,"Ansab, Muscat•",400.0,,
1me1 - Fabulous 4BHK villa for rent in Azaiba,600.0,"Azaiba, Muscat•",400.0,4.0,5.0
luxury furnished flat in muscat hills with swimming pool view,,"Muscat Hills, Muscat•",100.0,2.0,1.0
for rent 4 bhk villa in al qurum hills,,"Qurum, Muscat•",10.0,5.0,4.0
Brand New 1 Bedroom Apartment for Rent in Al Mouj,700.0,"The Wave (Almouj), Muscat•",109.0,2.0,1.0
Cozy 2 Bedroom Furnished Apartment in Muscat Hills,550.0,"Muscat Hills, Muscat•",115.0,3.0,2.0
For Rent Open Space In Al Azaiba  (Commercial / Showroom),,"Azaiba, Muscat•",430.0,,
"Four-bedroom Villa, Madinat Qaboos, RMQV040",,"Madinat As Sultan Qaboos, Muscat•",360.0,5.0,4.0
فيلا للإيجار المعبيلة الجنوبية – موقع مميز قريب من جميع الخدمات,,"Al Maabilah, Muscat•",630.0,6.0,6.0
Spacious 2 BHK Apartment for rent in Al Khuwair,300.0,"Al Khuwair, Muscat•",110.0,3.0,2.0
1 BHK FOR RENT - AL KHUWAIR!,215.0,"Al Khuwair, Muscat•",85.0,2.0,1.0
Stunning furnished 4-Bedroom Apartment with Panoramic Marina view,,"The Wave (Almouj), Muscat•",10.0,4.0,4.0
Stunning Sea & Marina Views | 2-Bedroom Fully Furnished Apartment-Rent,,"The Wave (Almouj), Muscat•",10.0,2.0,2.0
مبنى جديد معرض طابقين للايجار جنب عمان تل,111.0,"Liwa, Al Batinah•",1100.0,,
apartments for rent near Darsait ISM,275.0,"Darsait, Muscat•",100.0,3.0,2.0
1 BHK APARTMENT FOR RENT IN GRAND MALL(SYG),,"Bosher, Muscat•",100.0,2.0,1.0
2BHK Apartment for Rent Zara Building Quram – PPA115,325.0,"Qurum, Muscat•",110.0,3.0,2.0
flat in alwalja ruwi (B2550),130.0,"Ruwi, Muscat•",100.0,2.0,2.0
"Sustainable Logistics Solutions in Khazaen Economic City,CKWA38",,"Barka, Al Batinah•",4500.0,,
"Stunning 3 BHK Apartment for Rent – Al Meria North, Al Mouj",,"The Wave (Almouj), Muscat•",250.0,4.0,3.0
Room and bathroom ( fully furnished ) without kitchen North Ghubrah,140.0,"Al Ghubrah, Muscat•",55555.0,1.0,1.0
GHALA | 2738 SQM WAREHOUSE IN PRIME LOCATION,,"Ghala, Muscat•",2738.0,,
Spacious 8BHK Villa for Rent in Al Khoud PPV31,650.0,"Al Khoud, Muscat•",450.0,9.0,8.0
المعبيلة الجنوبية,1000.0,"Al Maabilah, Muscat•",1000.0,7.0,7.0
فيلا للإيجار بتشطيبات وديكور راقٍ – الخوض السابعة | Stylish Villa for,400.0,"Al Khoud, Muscat•",300.0,6.0,4.0
Spacious 2BHK flat for rent in Al Azaiba near al Mera hypermarket,,"Azaiba, Muscat•",130.0,2.0,3.0
"1500 m land, independent villa for schools in KHOUD6",2000.0,"Al Khoud, Muscat•",1800.0,10.0,7.0
store for rent مستودع للاجار,,"Bosher, Muscat•",300.0,,
villa @ south mwaleh behind city center within complex,450.0,"Al Mawaleh, Muscat•",320.0,5.0,5.0
Without furnitur 2rooms+Hall+1 bathroom+kitchen Al Ghubra South,230.0,"Al Khuwair, Muscat•",100000.0,1.0,2.0
شقة مؤثثة للايجار مسقط هيلز- Full furnished apartment muscat hills,390.0,"Muscat Hills, Muscat•",77.0,2.0,1.0
RF74 - 1BHK FLAT FOR RENT IN JUMAN 1 AT THE WAVE,950.0,"The Wave (Almouj), Muscat•",10.0,2.0,1.0
AL KHUWAIR | 2 BR APARTMENTS,270.0,"Al Khuwair, Muscat•",105.0,2.0,2.0
2BHK FLAT IN WADI KABIR AREA,200.0,"Al Wadi Al Kabir, Muscat•",90.0,2.0,2.0
2 BHK Flat in CBD area Ruwi,,"Ruwi, Muscat•",90.0,2.0,2.0
8+1 BD | Twin villa | Brand New,2500.0,"Madinat As Sultan Qaboos, Muscat•",500.0,9.0,8.0
Modern style| Amazing view | Townhouse,1200.0,"Qurum, Muscat•",300.0,5.0,3.0
Shops for Rent in prime commercial locations in South Al Mawaleh,1000.0,"Al Mawaleh, Muscat•",25.0,,
4+1 BR COMMERCIAL VILLA FOR RENT - AL KHUWAIR,1400.0,"Al Khuwair, Muscat•",500.0,5.0,5.0
luxury brand new flat in juman 2 with marina view,,"The Wave (Almouj), Muscat•",110.0,2.0,1.0
BOWSHAR | EXCELLENT 3 BR APARTMENT FOR RENT,270.0,"Bosher, Muscat•",125.0,2.0,3.0
محلات للإيجار بأسعار تبدأ من 150 ريال فقط!,150.0,"Sohar, Al Batinah•",20.0,,
شقة راقية للإيجار في موقع مميز ببوشر,,"Bosher, Muscat•",125.0,3.0,3.0
Fully Furnished Hotel Apartment for Rent,1700.0,"The Wave (Almouj), Muscat•",184.72,3.0,2.0
High-end villa for rent in Boushar Al Muna,650.0,"Bosher, Muscat•",400.0,5.0,5.0
SR--BH-851  Modern 1-Bedroom Flat in Hills Avenue – Muscat Hills,390.0,"Muscat Hills, Muscat•",70.0,1.0,1.0
SR--MM-884 Apartment for Rent in Muscat hills شقة للإيجار في مسقط هيلز,410.0,"Muscat Hills, Muscat•",90.0,2.0,1.0
BRAND NEW CONTEMPORARY OFFICE SPACES FOR RENT !,250.0,"Al Khuwair, Muscat•",15.0,,
للايجار شقه في مرتفعات غلا 1bhk راقيه اول ساكن مع  free wifi,230.0,"Ghala, Muscat•",80.0,2.0,1.0
للإيجار غرفة بالخوض السادسه شاملة الفواتير,80.0,"Al Khoud, Muscat•",50.0,1.0,1.0
للإيجار بيت في فلج القبائل,350.0,"Sohar, Al Batinah•",250.0,6.0,6.0
اجار زوار الخريف,50.0,"Salalah, Dhofar•",300.0,3.0,3.0
شقة مفروشة بالكامل مع جميع المستلزمات في خط الرئيسي نستو ومسقط مول شام,220.0,"Al Maabilah, Muscat•",110.0,2.0,2.0
